SightDate,Time1,Time2,Month,Day,Year,pod,likelypod,Direction,FishArea,Quadrant,latitude,longitude,Source,j_pod,j_likelypod,j,j_tag,k_pod,k_likelypod,k,k_tag,l_pod,l_likelypod,l,l_tag,pod_tag
1986-06-10,17:40:00,1740,6,10.0,1986,orcas,k,N,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,0,1,1,K,0,0,0,,K
1986-06-10,18:10:00,1810,6,10.0,1986,k,nan,S,7,176,48.5602,-123.2168,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-10,18:23:00,1823,6,10.0,1986,k,nan,S,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-11,08:40:00,840,6,11.0,1986,j,nan,S,7,176,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1986-06-11,08:55:00,855,6,11.0,1986,j,nan,S,7,181,48.5065,-123.1786,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1986-06-11,09:00:00,900,6,11.0,1986,j,nan,S,7,181,48.5065,-123.1786,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1986-06-11,11:00:00,1100,6,11.0,1986,orcas,j,N,7,184,48.4629,-123.1092,TWM-SA-Pub,0,1,1,J,0,0,0,,0,0,0,,J
1986-06-11,11:17:00,1117,6,11.0,1986,k,j,S,7,176,48.5602,-123.2168,TWM-SA-Rel,0,1,1,J,1,0,1,K,0,0,0,,JK
1986-06-11,11:55:00,1155,6,11.0,1986,j,nan,NW,7,181,48.5065,-123.1786,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1986-06-11,14:00:00,1400,6,11.0,1986,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1986-06-11,17:27:00,1727,6,11.0,1986,j,nan,NW,18C,163,48.711,-123.2655,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1986-06-12,08:15:00,815,6,12.0,1986,orcas,k,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,1,1,K,0,0,0,,K
1986-06-12,09:45:00,945,6,12.0,1986,orcas,k,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,1,1,K,0,0,0,,K
1986-06-12,09:55:00,955,6,12.0,1986,k,nan,N,7,176,48.5602,-123.2168,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-12,09:55:00,955,6,12.0,1986,k,nan,N,7,176,48.5602,-123.2168,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-12,11:00:00,1100,6,12.0,1986,k,nan,mill,19C,177,48.5606,-123.2902,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
